waypoint1	waypoint2	distance_m	duration_s
"Eiffel Tower, Avenue Anatole France, Paris, France"	"Andorra la Vella, Andorra"	858936	30488
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	694993	26286
"BMW Welt, Munich, Germany"	"Place de la Bourse, Bordeaux, France"	1281358	43998
"Promenade des Anglais, Nice, France"	"Grand Place, Brussels, Belgium"	1194436	39484
"Piazza San Pietro, Vatican City"	"Oberstdorf, Germany"	932771	34242
"Palace of Westminster, London, United Kingdom"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	1172435	42604
Old Port of Marseille	"Pantheon, Piazza della Rotonda, Rome, Italy"	903516	33134
"Piazza San Pietro, Vatican City"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	580045	21008
"Parc national des Calanques, Marseille, France"	"Port Hercule, Monte Carlo, Monaco"	229680	8913
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Crimeo 114, 6563 Mesocco, Switzerland"	713932	25378
"BMW Welt, Munich, Germany"	"Mont Boron, Nice, France"	803336	30451
"Place du Capitole, Toulouse, France"	"Promenade des Anglais, Nice, France"	567435	18958
"Piazza San Pietro, Vatican City"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	501922	18237
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Grand Place, Brussels, Belgium"	1336644	44019
"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	"Crimeo 114, 6563 Mesocco, Switzerland"	32727	1709
"Mont Boron, Nice, France"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	424623	17315
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	869776	32638
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Place de la Comedie, Montpellier, France"	524559	20161
Old Port of Marseille	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	971806	34625
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Mont Boron, Nice, France"	435602	17484
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Andorra la Vella, Andorra"	860471	30761
"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	307454	12317
"Mont Boron, Nice, France"	"Place de la Comedie, Montpellier, France"	329896	12388
"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	"Crimeo 114, 6563 Mesocco, Switzerland"	670299	24904
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Eiffel Tower, Avenue Anatole France, Paris, France"	1429136	48669
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Mont Boron, Nice, France"	699626	26207
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1750657	58376
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Place de la Bourse, Bordeaux, France"	996911	33576
"Place du Palais, Monaco-Ville, Monaco"	"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	959381	31300
"Promenade des Anglais, Nice, France"	"Mont Boron, Nice, France"	4498	809
"Place du Palais, Monaco-Ville, Monaco"	"Mont Boron, Nice, France"	16622	1609
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Mont Boron, Nice, France"	700516	26360
"Vernazza, Province of La Spezia, Italy"	"Parc national des Calanques, Marseille, France"	499988	20655
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	579726	21230
"BMW Welt, Munich, Germany"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	554425	18932
"Piazza San Pietro, Vatican City"	"Pantheon, Piazza della Rotonda, Rome, Italy"	2353	556
Old Port of Marseille	"Grand Place, Brussels, Belgium"	1039603	34479
"Parc national des Calanques, Marseille, France"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	909682	33431
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	851946	29897
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	1096605	36547
"Place de la Bourse, Bordeaux, France"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1444054	47380
"BMW Welt, Munich, Germany"	"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	633165	24372
"Place du Palais, Monaco-Ville, Monaco"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	424602	17214
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Promenade des Anglais, Nice, France"	729502	29509
"Eiffel Tower, Avenue Anatole France, Paris, France"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	824386	27932
"Grauwallring 2, 27580, Bremerhaven, Germany"	"Andorra la Vella, Andorra"	1714968	59174
"BMW Welt, Munich, Germany"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	324452	11850
"Place du Palais, Monaco-Ville, Monaco"	"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	183004	8294
"Place de la Bourse, Bordeaux, France"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	993489	34955
"Mont Boron, Nice, France"	"Crimeo 114, 6563 Mesocco, Switzerland"	445006	17044
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Palatino. Via di San Gregorio, 00186 Roma, Italy"	1275462	45154
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Andorra la Vella, Andorra"	836950	33446
Old Port of Marseille	"Piazza San Pietro, Vatican City"	903151	32964
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Promenade des Anglais, Nice, France"	701861	26654
"Place du Capitole, Toulouse, France"	"Palace of Westminster, London, United Kingdom"	1129639	40605
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	276799	10869
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	105759	4672
"Eiffel Tower, Avenue Anatole France, Paris, France"	"Place de la Comedie, Montpellier, France"	746676	24421
"Place de la Bourse, Bordeaux, France"	"Crimeo 114, 6563 Mesocco, Switzerland"	1101842	38049
"Oberstdorf, Germany"	"Eiffel Tower, Avenue Anatole France, Paris, France"	837954	28844
"Grand Place, Brussels, Belgium"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	818713	29379
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Andorra la Vella, Andorra"	1129661	40356
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Palatino. Via di San Gregorio, 00186 Roma, Italy"	447	58
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Oberstdorf, Germany"	495803	21674
"Grand Place, Brussels, Belgium"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	1210365	43778
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	504266	18377
"Piazza della Signoria, Florence, Italy"	"Place de la Comedie, Montpellier, France"	751113	28258
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Place de la Bourse, Bordeaux, France"	972326	29688
"Grand Place, Brussels, Belgium"	"Grauwallring 2, 27580, Bremerhaven, Germany"	552633	19591
"Place du Palais, Monaco-Ville, Monaco"	"Pantheon, Piazza della Rotonda, Rome, Italy"	687537	26122
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	318309	12451
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Palace of Westminster, London, United Kingdom"	1873163	65413
"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	"Promenade des Anglais, Nice, France"	702969	26846
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Crimeo 114, 6563 Mesocco, Switzerland"	715961	25288
"Promenade des Anglais, Nice, France"	"Andorra la Vella, Andorra"	637729	25366
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Place de la Bourse, Bordeaux, France"	1502533	51220
"Place de la Bourse, Bordeaux, France"	"Port Hercule, Monte Carlo, Monaco"	824529	27047
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	598109	23658
